,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
25,8_features,162,True,minmax,True,121,41,random_forest,precision,0.475206611570248,0.043181323892936,0.902439024390244,0.827731092436975,0.714285714285714,0.714285714285714,0.714285714285714,0.827731092436975,{'clf__bootstrap': False, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
28,8_features,162,True,minmax,True,121,41,random_forest,balanced_accuracy,0.771296884933248,0.032709192462252,0.878048780487805,0.926470588235294,0.583333333333333,1,0.736842105263158,0.926470588235294,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
7,8_features,162,True,minmax,True,121,41,knn,f1,0.532145540410003,0.129709708905205,0.853658536585366,0.855042016806723,0.545454545454545,0.857142857142857,0.666666666666667,0.855042016806723,{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'},,
11,8_features,162,True,minmax,True,121,41,ada,recall,0.851239669421488,0.165701964097218,0.853658536585366,0.855042016806723,0.545454545454545,0.857142857142857,0.666666666666667,0.855042016806723,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
20,8_features,162,True,minmax,True,121,41,decision_tree,precision,0.512396694214876,0.13074617374155,0.853658536585366,0.855042016806723,0.545454545454545,0.857142857142857,0.666666666666667,0.855042016806723,{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 4, 'clf__splitter': 'random'}
10,8_features,162,True,minmax,True,121,41,ada,precision,0.38648885549712,0.033597242872533,0.829268292682927,0.897058823529412,0.5,1,0.666666666666667,0.897058823529412,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
12,8_features,162,True,minmax,True,121,41,ada,f1,0.510560146923783,0.101592776388902,0.829268292682927,0.897058823529412,0.5,1,0.666666666666667,0.897058823529412,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 10},,,
13,8_features,162,True,minmax,True,121,41,ada,balanced_accuracy,0.756389065479975,0.039123214064972,0.829268292682927,0.897058823529412,0.5,1,0.666666666666667,0.897058823529412,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
14,8_features,162,True,minmax,True,121,41,ada,roc_auc,0.818804831532104,0.0643004730762,0.829268292682927,0.897058823529412,0.5,1,0.666666666666667,0.897058823529412,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 200},,,
15,8_features,162,True,minmax,True,121,41,svm,precision,0.402203856749311,0.072144407252595,0.829268292682927,0.840336134453781,0.5,0.857142857142857,0.631578947368421,0.840336134453781,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
27,8_features,162,True,minmax,True,121,41,random_forest,f1,0.548141940703924,0.042083139613556,0.829268292682927,0.783613445378151,0.5,0.714285714285714,0.588235294117647,0.783613445378151,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
6,8_features,162,True,minmax,True,121,41,knn,recall,0.750413223140496,0.086362647785872,0.804878048780488,0.82563025210084,0.461538461538462,0.857142857142857,0.6,0.82563025210084,{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'},,
4,8_features,162,True,minmax,True,121,41,gaussian_nb,roc_auc,0.801894469167197,0.070876879990531,0.780487804878049,0.867647058823529,0.4375,1,0.608695652173913,0.867647058823529,{'clf__var_smoothing': 2e-09},,,,,
17,8_features,162,True,minmax,True,121,41,svm,f1,0.500729217306757,0.055013750993693,0.780487804878049,0.867647058823529,0.4375,1,0.608695652173913,0.867647058823529,{'clf__C': 0.001, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
22,8_features,162,True,minmax,True,121,41,decision_tree,f1,0.546688848341741,0.029365781564916,0.780487804878049,0.810924369747899,0.428571428571429,0.857142857142857,0.571428571428571,0.810924369747899,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
30,8_features,162,True,minmax,True,121,41,mlp,precision,0.412534435261708,0.064074883676056,0.780487804878049,0.810924369747899,0.428571428571429,0.857142857142857,0.571428571428571,0.810924369747899,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
5,8_features,162,True,minmax,True,121,41,knn,precision,0.401502629601803,0.12260972623892,0.780487804878049,0.754201680672269,0.416666666666667,0.714285714285714,0.526315789473684,0.754201680672269,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'},,
29,8_features,162,True,minmax,True,121,41,random_forest,roc_auc,0.824729815638907,0.064180708888175,0.780487804878049,0.754201680672269,0.416666666666667,0.714285714285714,0.526315789473684,0.754201680672269,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
0,8_features,162,True,minmax,True,121,41,gaussian_nb,precision,0.35445958999678,0.012420174764916,0.731707317073171,0.838235294117647,0.388888888888889,1,0.56,0.838235294117647,{'clf__var_smoothing': 2e-09},,,,,
1,8_features,162,True,minmax,True,121,41,gaussian_nb,recall,0.801652892561983,0.141994919635799,0.731707317073171,0.838235294117647,0.388888888888889,1,0.56,0.838235294117647,{'clf__var_smoothing': 2e-08},,,,,
3,8_features,162,True,minmax,True,121,41,gaussian_nb,balanced_accuracy,0.757310870947234,0.052220499105637,0.731707317073171,0.838235294117647,0.388888888888889,1,0.56,0.838235294117647,{'clf__var_smoothing': 5e-08},,,,,
31,8_features,162,True,minmax,True,121,41,mlp,recall,0.750413223140496,0.086362647785872,0.731707317073171,0.838235294117647,0.388888888888889,1,0.56,0.838235294117647,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
