,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
10,8_features,162,False,minmax,True,121,41,ada,precision,0.63786626596544,0.365145279905975,0.804878048780488,0.598739495798319,0.4,0.285714285714286,0.333333333333333,0.598739495798319,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
27,8_features,162,False,minmax,True,121,41,random_forest,f1,0.461486172229974,0.099447843392507,0.804878048780488,0.598739495798319,0.4,0.285714285714286,0.333333333333333,0.598739495798319,{'clf__bootstrap': False, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
25,8_features,162,False,minmax,True,121,41,random_forest,precision,0.507083825265643,0.298652587597595,0.780487804878049,0.584033613445378,0.333333333333333,0.285714285714286,0.307692307692308,0.584033613445378,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
14,8_features,162,False,minmax,True,121,41,ada,roc_auc,0.714710743801653,0.065765352733091,0.707317073170732,0.653361344537815,0.307692307692308,0.571428571428571,0.4,0.653361344537815,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 1, 'clf__n_estimators': 200},,,
29,8_features,162,False,minmax,True,121,41,random_forest,roc_auc,0.742727272727273,0.055456035747486,0.731707317073171,0.611344537815126,0.3,0.428571428571429,0.352941176470588,0.611344537815126,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
28,8_features,162,False,minmax,True,121,41,random_forest,balanced_accuracy,0.690178003814367,0.032461981408803,0.707317073170732,0.596638655462185,0.272727272727273,0.428571428571429,0.333333333333333,0.596638655462185,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
34,8_features,162,False,minmax,True,121,41,mlp,roc_auc,0.720966306420852,0.070883605917094,0.634146341463415,0.609243697478992,0.25,0.571428571428571,0.347826086956522,0.609243697478992,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'adam'},
11,8_features,162,False,minmax,True,121,41,ada,recall,0.651239669421488,0.29489196858694,0.560975609756098,0.621848739495798,0.238095238095238,0.714285714285714,0.357142857142857,0.621848739495798,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 50},,,
12,8_features,162,False,minmax,True,121,41,ada,f1,0.366481342349111,0.057769088181953,0.560975609756098,0.621848739495798,0.238095238095238,0.714285714285714,0.357142857142857,0.621848739495798,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
23,8_features,162,False,minmax,True,121,41,decision_tree,balanced_accuracy,0.721932612841704,0.079376397048839,0.560975609756098,0.621848739495798,0.238095238095238,0.714285714285714,0.357142857142857,0.621848739495798,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
