	cols_set	datapoints	normalize	oversample	drop_nan	train_set	test_set	model	tune_for	mean	std	accuracy	bal_accuracy	precision	recall	f1	AUROC	params
0	8_features	2638	True	minmax	True	1978	660	random_forest	precision	0.3041258146787931	0.08419639182926428	0.7484848484848485	0.5520451770451771	0.42424242424242425	0.1794871794871795	0.25225225225225223	0.5520451770451771	{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
1	8_features	2638	True	minmax	True	1978	660	random_forest	recall	0.7315235027159217	0.07147281223720975	0.6242424242424243	0.5437271062271062	0.2850467289719626	0.391025641025641	0.3297297297297297	0.5437271062271062	{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
2	8_features	2638	True	minmax	True	1978	660	random_forest	f1	0.3722044840298367	0.010391739386056033	0.6090909090909091	0.5249542124542125	0.2638888888888889	0.36538461538461536	0.30645161290322576	0.5249542124542125	{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
3	8_features	2638	True	minmax	True	1978	660	random_forest	balanced_accuracy	0.6375136386726624	0.012584470898780793	0.6439393939393939	0.5499847374847375	0.29743589743589743	0.3717948717948718	0.33048433048433046	0.5499847374847375	{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}
4	8_features	2638	True	minmax	True	1978	660	random_forest	roc_auc	0.6776034285850744	0.03424949576362029	0.6303030303030303	0.5476953601953602	0.2904761904761905	0.391025641025641	0.33333333333333337	0.5476953601953601	{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
5	8_features	2638	True	minmax	True	1978	660	mlp	precision	0.26135091199927046	0.02814437270050587	0.6833333333333333	0.5470085470085471	0.3146853146853147	0.28846153846153844	0.3010033444816053	0.547008547008547	{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'}
6	8_features	2638	True	minmax	True	1978	660	mlp	recall	0.5900527291789475	0.11835541182934252	0.6712121212121213	0.5324328449328449	0.2896551724137931	0.2692307692307692	0.27906976744186046	0.5324328449328449	{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'}
7	8_features	2638	True	minmax	True	1978	660	mlp	f1	0.36070205396853544	0.036523303808899406	0.6833333333333333	0.5580738705738706	0.32679738562091504	0.32051282051282054	0.3236245954692557	0.5580738705738706	{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'}
8	8_features	2638	True	minmax	True	1978	660	mlp	balanced_accuracy	0.6222193991406614	0.049367651701073316	0.6833333333333333	0.5470085470085471	0.3146853146853147	0.28846153846153844	0.3010033444816053	0.547008547008547	{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'}
9	8_features	2638	True	minmax	True	1978	660	mlp	roc_auc	0.6640208879828212	0.03647121916612306	0.6848484848484848	0.5568528693528694	0.32666666666666666	0.3141025641025641	0.3202614379084967	0.5568528693528694	{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'}
