,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
23,all_columns,126,False,minmax,True,94,32,decision_tree,balanced_accuracy,0.84375,0.775641025641025,0.571428571428571,0.666666666666667,0.615384615384615,0.775641025641025,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
32,all_columns,126,False,minmax,True,94,32,mlp,f1,0.8125,0.692307692307692,0.5,0.5,0.5,0.692307692307692,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
30,all_columns,126,False,minmax,True,94,32,mlp,precision,0.78125,0.673076923076923,0.428571428571429,0.5,0.461538461538462,0.673076923076923,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
33,all_columns,126,False,minmax,True,94,32,mlp,balanced_accuracy,0.78125,0.673076923076923,0.428571428571429,0.5,0.461538461538462,0.673076923076923,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
31,all_columns,126,False,minmax,True,94,32,mlp,recall,0.75,0.653846153846154,0.375,0.5,0.428571428571429,0.653846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
34,all_columns,126,False,minmax,True,94,32,mlp,roc_auc,0.75,0.653846153846154,0.375,0.5,0.428571428571429,0.653846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
119,tt_35,126,False,minmax,True,94,32,ada,roc_auc,0.75,0.653846153846154,0.375,0.5,0.428571428571429,0.653846153846154,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 100},,,
25,all_columns,126,False,minmax,True,94,32,random_forest,precision,0.75,0.58974358974359,0.333333333333333,0.333333333333333,0.333333333333333,0.58974358974359,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
27,all_columns,126,False,minmax,True,94,32,random_forest,f1,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': False, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
28,all_columns,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
62,reduced,126,False,minmax,True,94,32,random_forest,f1,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
133,tt_35,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
0,all_columns,126,False,minmax,True,94,32,gaussian_nb,precision,0.65625,0.66025641025641,0.307692307692308,0.666666666666667,0.421052631578947,0.66025641025641,{'clf__var_smoothing': 1e-09},,,,,
75,tt_0,126,False,minmax,True,94,32,knn,precision,0.65625,0.66025641025641,0.307692307692308,0.666666666666667,0.421052631578947,0.66025641025641,{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'},,
9,all_columns,126,False,minmax,True,94,32,knn,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'},,
24,all_columns,126,False,minmax,True,94,32,decision_tree,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
49,reduced,126,False,minmax,True,94,32,ada,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 100},,,
57,reduced,126,False,minmax,True,94,32,decision_tree,f1,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
63,reduced,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
80,tt_0,126,False,minmax,True,94,32,ada,precision,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
