,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
91,tt_0,126,True,minmax,True,94,32,decision_tree,recall,0.9375,0.897435897435897,0.833333333333333,0.833333333333333,0.833333333333333,0.897435897435897,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
32,all_columns,126,True,minmax,True,94,32,mlp,f1,0.9375,0.961538461538462,0.75,1,0.857142857142857,0.961538461538462,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
44,reduced,126,True,minmax,True,94,32,knn,roc_auc,0.9375,0.961538461538462,0.75,1,0.857142857142857,0.961538461538462,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 4, 'clf__weights': 'distance'},,
42,reduced,126,True,minmax,True,94,32,knn,f1,0.90625,0.942307692307692,0.666666666666667,1,0.8,0.942307692307692,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 4, 'clf__weights': 'distance'},,
59,reduced,126,True,minmax,True,94,32,decision_tree,roc_auc,0.90625,0.942307692307692,0.666666666666667,1,0.8,0.942307692307692,{'clf__criterion': 'entropy', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
89,tt_0,126,True,minmax,True,94,32,svm,roc_auc,0.84375,0.647435897435897,0.666666666666667,0.333333333333333,0.444444444444444,0.647435897435897,{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
159,tt_35,126,True,minmax,True,94,32,svm,roc_auc,0.875,0.794871794871795,0.666666666666667,0.666666666666667,0.666666666666667,0.794871794871795,{'clf__C': 0.001, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
200,descr_react,126,True,minmax,True,94,32,random_forest,precision,0.875,0.794871794871795,0.666666666666667,0.666666666666667,0.666666666666667,0.794871794871795,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
14,all_columns,126,True,minmax,True,94,32,ada,roc_auc,0.875,0.858974358974359,0.625,0.833333333333333,0.714285714285714,0.858974358974359,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.1, 'clf__n_estimators': 100},,,
25,all_columns,126,True,minmax,True,94,32,random_forest,precision,0.875,0.858974358974359,0.625,0.833333333333333,0.714285714285714,0.858974358974359,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
