,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
169,tt_wilcoxon,122,True,minmax,True,91,31,random_forest,roc_auc,0.94679005205321,0.070410635813479,0.935483870967742,0.896666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.896666666666667,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
220,tt_wilcoxon_premed,122,True,minmax,True,91,31,ada,precision,0.81043956043956,0.207485797675815,0.903225806451613,0.813333333333333,0.8,0.666666666666667,0.727272727272727,0.813333333333333,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200},,,
170,tt_wilcoxon,122,True,minmax,True,91,31,mlp,precision,0.624542124542124,0.247815124916965,0.870967741935484,0.73,0.75,0.5,0.6,0.73,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
190,tt_35_premed,122,True,minmax,True,91,31,svm,precision,0.663003663003663,0.408978911047174,0.870967741935484,0.73,0.75,0.5,0.6,0.73,{'clf__C': 0.001, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
95,tt_0,122,True,minmax,True,91,31,random_forest,precision,0.764102564102564,0.25184209101946,0.903225806451613,0.876666666666667,0.714285714285714,0.833333333333333,0.769230769230769,0.876666666666667,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
150,tt_wilcoxon,122,True,minmax,True,91,31,ada,precision,0.76530612244898,0.233513515277364,0.903225806451613,0.876666666666667,0.714285714285714,0.833333333333333,0.769230769230769,0.876666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
34,all_columns,122,True,minmax,True,91,31,mlp,roc_auc,0.815837671100829,0.11767250962925,0.903225806451613,0.94,0.666666666666667,1,0.8,0.94,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
40,reduced,122,True,minmax,True,91,31,knn,precision,0.658791208791209,0.231406759353228,0.903225806451613,0.94,0.666666666666667,1,0.8,0.94,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 5, 'clf__p': 3, 'clf__weights': 'distance'},,
43,reduced,122,True,minmax,True,91,31,knn,balanced_accuracy,0.901894158473106,0.091252603048954,0.903225806451613,0.94,0.666666666666667,1,0.8,0.94,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 3, 'clf__p': 4, 'clf__weights': 'distance'},,
99,tt_0,122,True,minmax,True,91,31,random_forest,roc_auc,0.91685945633314,0.112849781624442,0.870967741935484,0.793333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.793333333333333,{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
173,tt_wilcoxon,122,True,minmax,True,91,31,mlp,balanced_accuracy,0.812102371312898,0.147087776515736,0.903225806451613,0.94,0.666666666666667,1,0.8,0.94,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
230,tt_wilcoxon_premed,122,True,minmax,True,91,31,decision_tree,precision,0.848351648351648,0.260752350768596,0.903225806451613,0.94,0.666666666666667,1,0.8,0.94,{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
