,col_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
48,tt,144,True,minmax,True,108,36,decision_tree,balanced_accuracy,0.888888888888889,0.866666666666667,0.625,0.833333333333333,0.714285714285714,0.866666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
2,reduced,144,True,minmax,True,108,36,svm,f1,0.888888888888889,0.933333333333333,0.6,1,0.75,0.933333333333333,{'clf__C': 10, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
40,tt,144,True,minmax,True,108,36,svm,precision,0.888888888888889,0.933333333333333,0.6,1,0.75,0.933333333333333,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
0,reduced,144,True,minmax,True,108,36,svm,precision,0.861111111111111,0.85,0.555555555555556,0.833333333333333,0.666666666666667,0.85,{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
8,reduced,144,True,minmax,True,108,36,decision_tree,balanced_accuracy,0.861111111111111,0.85,0.555555555555556,0.833333333333333,0.666666666666667,0.85,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
19,reduced,144,True,minmax,True,108,36,random_forest,roc_auc,0.861111111111111,0.85,0.555555555555556,0.833333333333333,0.666666666666667,0.85,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
4,reduced,144,True,minmax,True,108,36,svm,roc_auc,0.833333333333333,0.9,0.5,1,0.666666666666667,0.9,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
5,reduced,144,True,minmax,True,108,36,decision_tree,precision,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
7,reduced,144,True,minmax,True,108,36,decision_tree,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
9,reduced,144,True,minmax,True,108,36,decision_tree,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
10,reduced,144,True,minmax,True,108,36,ada,precision,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
11,reduced,144,True,minmax,True,108,36,ada,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
