,col_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
0,all,150,True,minmax,True,112,38,svm,precision,0.736842105263158,0.505208333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.505208333333333,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
1,all,150,True,minmax,True,112,38,svm,recall,0.605263157894737,0.697916666666667,0.263157894736842,0.833333333333333,0.4,0.697916666666667,{'clf__C': 0.001, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
2,all,150,True,minmax,True,112,38,svm,f1,0.68421052631579,0.744791666666667,0.3125,0.833333333333333,0.454545454545455,0.744791666666667,{'clf__C': 1000, 'clf__gamma': 1e-05, 'clf__kernel': 'rbf'},,,
3,all,150,True,minmax,True,112,38,svm,balanced_accuracy,0.631578947368421,0.713541666666667,0.277777777777778,0.833333333333333,0.416666666666667,0.713541666666667,{'clf__C': 10, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
4,all,150,True,minmax,True,112,38,svm,roc_auc,0.736842105263158,0.776041666666667,0.357142857142857,0.833333333333333,0.5,0.776041666666667,{'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
5,all,150,True,minmax,True,112,38,decision_tree,precision,0.842105263157895,0.703125,0.5,0.5,0.5,0.703125,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
6,all,150,True,minmax,True,112,38,decision_tree,recall,0.68421052631579,0.609375,0.25,0.5,0.333333333333333,0.609375,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
7,all,150,True,minmax,True,112,38,decision_tree,f1,0.552631578947368,0.53125,0.176470588235294,0.5,0.260869565217391,0.53125,{'clf__criterion': 'entropy', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
8,all,150,True,minmax,True,112,38,decision_tree,balanced_accuracy,0.631578947368421,0.510416666666667,0.166666666666667,0.333333333333333,0.222222222222222,0.510416666666667,{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 4, 'clf__splitter': 'random'}
9,all,150,True,minmax,True,112,38,decision_tree,roc_auc,0.68421052631579,0.541666666666667,0.2,0.333333333333333,0.25,0.541666666666667,{'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
