	cols_set	datapoints	normalize	oversample	drop_nan	train_set	test_set	model	tune_for	accuracy	bal_accuracy	precision	recall	f1	AUROC	params
0	all_columns	150	True	minmax	True	112	38	knn	precision	0.6052631578947368	0.6302083333333333	0.23529411764705882	0.6666666666666666	0.3478260869565218	0.6302083333333333	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}
1	all_columns	150	True	minmax	True	112	38	knn	recall	0.631578947368421	0.7135416666666667	0.2777777777777778	0.8333333333333334	0.4166666666666667	0.7135416666666667	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'distance'}
2	all_columns	150	True	minmax	True	112	38	knn	f1	0.6578947368421053	0.6614583333333333	0.26666666666666666	0.6666666666666666	0.3809523809523809	0.6614583333333334	{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}
3	all_columns	150	True	minmax	True	112	38	knn	balanced_accuracy	0.631578947368421	0.578125	0.21428571428571427	0.5	0.3	0.578125	{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}
4	all_columns	150	True	minmax	True	112	38	knn	roc_auc	0.6052631578947368	0.6302083333333333	0.23529411764705882	0.6666666666666666	0.3478260869565218	0.6302083333333333	{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}
5	reduced	150	True	minmax	True	112	38	knn	precision	0.8421052631578947	0.90625	0.5	1.0	0.6666666666666666	0.90625	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}
6	reduced	150	True	minmax	True	112	38	knn	recall	0.7894736842105263	0.875	0.42857142857142855	1.0	0.6	0.875	{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 3, 'clf__weights': 'uniform'}
7	reduced	150	True	minmax	True	112	38	knn	f1	0.8157894736842105	0.890625	0.46153846153846156	1.0	0.631578947368421	0.890625	{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}
8	reduced	150	True	minmax	True	112	38	knn	balanced_accuracy	0.7894736842105263	0.875	0.42857142857142855	1.0	0.6	0.875	{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}
9	reduced	150	True	minmax	True	112	38	knn	roc_auc	0.7894736842105263	0.875	0.42857142857142855	1.0	0.6	0.875	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'}
10	tt_test	150	True	minmax	True	112	38	knn	precision	0.7894736842105263	0.875	0.42857142857142855	1.0	0.6	0.875	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}
11	tt_test	150	True	minmax	True	112	38	knn	recall	0.7368421052631579	0.84375	0.375	1.0	0.5454545454545454	0.84375	{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}
12	tt_test	150	True	minmax	True	112	38	knn	f1	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}
13	tt_test	150	True	minmax	True	112	38	knn	balanced_accuracy	0.7368421052631579	0.84375	0.375	1.0	0.5454545454545454	0.84375	{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}
14	tt_test	150	True	minmax	True	112	38	knn	roc_auc	0.7894736842105263	0.875	0.42857142857142855	1.0	0.6	0.875	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}
15	wtf	150	True	minmax	True	112	38	knn	precision	0.7105263157894737	0.6927083333333333	0.3076923076923077	0.6666666666666666	0.42105263157894735	0.6927083333333333	{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}
16	wtf	150	True	minmax	True	112	38	knn	recall	0.6578947368421053	0.7291666666666667	0.29411764705882354	0.8333333333333334	0.4347826086956522	0.7291666666666667	{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}
17	wtf	150	True	minmax	True	112	38	knn	f1	0.7105263157894737	0.7604166666666667	0.3333333333333333	0.8333333333333334	0.47619047619047616	0.7604166666666667	{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}
18	wtf	150	True	minmax	True	112	38	knn	balanced_accuracy	0.7105263157894737	0.7604166666666667	0.3333333333333333	0.8333333333333334	0.47619047619047616	0.7604166666666667	{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}
19	wtf	150	True	minmax	True	112	38	knn	roc_auc	0.6578947368421053	0.7291666666666667	0.29411764705882354	0.8333333333333334	0.4347826086956522	0.7291666666666667	{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}
