	cols_set	datapoints	normalize	oversample	drop_nan	train_set	test_set	model	tune_for	accuracy	bal_accuracy	precision	recall	f1	AUROC	params
0	all_columns	150	True	minmax	True	112	38	gaussian_nb	precision	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 2e-09}
1	all_columns	150	True	minmax	True	112	38	gaussian_nb	recall	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 2e-08}
2	all_columns	150	True	minmax	True	112	38	gaussian_nb	f1	0.8157894736842105	0.8229166666666667	0.45454545454545453	0.8333333333333334	0.5882352941176471	0.8229166666666667	{'clf__var_smoothing': 5e-08}
3	all_columns	150	True	minmax	True	112	38	gaussian_nb	balanced_accuracy	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__var_smoothing': 2e-09}
4	all_columns	150	True	minmax	True	112	38	gaussian_nb	roc_auc	0.7368421052631579	0.7083333333333333	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.7083333333333334	{'clf__var_smoothing': 5e-08}
5	tt_test	150	True	minmax	True	112	38	gaussian_nb	precision	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__var_smoothing': 2e-08}
6	tt_test	150	True	minmax	True	112	38	gaussian_nb	recall	0.7105263157894737	0.828125	0.35294117647058826	1.0	0.5217391304347826	0.828125	{'clf__var_smoothing': 1e-09}
7	tt_test	150	True	minmax	True	112	38	gaussian_nb	f1	0.7105263157894737	0.828125	0.35294117647058826	1.0	0.5217391304347826	0.828125	{'clf__var_smoothing': 1e-09}
8	tt_test	150	True	minmax	True	112	38	gaussian_nb	balanced_accuracy	0.6842105263157895	0.7447916666666667	0.3125	0.8333333333333334	0.45454545454545453	0.7447916666666667	{'clf__var_smoothing': 2e-08}
9	tt_test	150	True	minmax	True	112	38	gaussian_nb	roc_auc	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__var_smoothing': 1e-09}
10	wtf	150	True	minmax	True	112	38	gaussian_nb	precision	0.6578947368421053	0.7291666666666667	0.29411764705882354	0.8333333333333334	0.4347826086956522	0.7291666666666667	{'clf__var_smoothing': 5e-08}
11	wtf	150	True	minmax	True	112	38	gaussian_nb	recall	0.6842105263157895	0.7447916666666667	0.3125	0.8333333333333334	0.45454545454545453	0.7447916666666667	{'clf__var_smoothing': 1e-09}
12	wtf	150	True	minmax	True	112	38	gaussian_nb	f1	0.7105263157894737	0.7604166666666667	0.3333333333333333	0.8333333333333334	0.47619047619047616	0.7604166666666667	{'clf__var_smoothing': 1e-09}
13	wtf	150	True	minmax	True	112	38	gaussian_nb	balanced_accuracy	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__var_smoothing': 2e-09}
14	wtf	150	True	minmax	True	112	38	gaussian_nb	roc_auc	0.631578947368421	0.7135416666666667	0.2777777777777778	0.8333333333333334	0.4166666666666667	0.7135416666666667	{'clf__var_smoothing': 5e-08}
