	cols_set	datapoints	normalize	oversample	drop_nan	train_set	test_set	model	tune_for	accuracy	bal_accuracy	precision	recall	f1	AUROC	params
0	all_columns	150	True	minmax	True	112	38	gaussian_nb	precision	0.7631578947368421	0.7239583333333333	0.36363636363636365	0.6666666666666666	0.4705882352941177	0.7239583333333333	{'clf__var_smoothing': 1e-09}
1	all_columns	150	True	minmax	True	112	38	gaussian_nb	recall	0.7368421052631579	0.7083333333333333	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.7083333333333334	{'clf__var_smoothing': 1e-09}
2	all_columns	150	True	minmax	True	112	38	gaussian_nb	f1	0.7368421052631579	0.7083333333333333	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.7083333333333334	{'clf__var_smoothing': 1e-08}
3	all_columns	150	True	minmax	True	112	38	gaussian_nb	balanced_accuracy	0.7368421052631579	0.7083333333333333	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.7083333333333334	{'clf__var_smoothing': 2e-09}
4	all_columns	150	True	minmax	True	112	38	gaussian_nb	roc_auc	0.7105263157894737	0.6927083333333333	0.3076923076923077	0.6666666666666666	0.42105263157894735	0.6927083333333333	{'clf__var_smoothing': 1e-08}
5	tt_test	150	True	minmax	True	112	38	gaussian_nb	precision	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 2e-09}
6	tt_test	150	True	minmax	True	112	38	gaussian_nb	recall	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__var_smoothing': 2e-08}
7	tt_test	150	True	minmax	True	112	38	gaussian_nb	f1	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 2e-09}
8	tt_test	150	True	minmax	True	112	38	gaussian_nb	balanced_accuracy	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 5e-08}
9	tt_test	150	True	minmax	True	112	38	gaussian_nb	roc_auc	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 1e-08}
10	wtf	150	True	minmax	True	112	38	gaussian_nb	precision	0.7894736842105263	0.8072916666666667	0.4166666666666667	0.8333333333333334	0.5555555555555556	0.8072916666666667	{'clf__var_smoothing': 1e-09}
11	wtf	150	True	minmax	True	112	38	gaussian_nb	recall	0.7368421052631579	0.7760416666666667	0.35714285714285715	0.8333333333333334	0.5	0.7760416666666667	{'clf__var_smoothing': 5e-08}
12	wtf	150	True	minmax	True	112	38	gaussian_nb	f1	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 1e-08}
13	wtf	150	True	minmax	True	112	38	gaussian_nb	balanced_accuracy	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 2e-09}
14	wtf	150	True	minmax	True	112	38	gaussian_nb	roc_auc	0.7631578947368421	0.7916666666666667	0.38461538461538464	0.8333333333333334	0.5263157894736842	0.7916666666666666	{'clf__var_smoothing': 1e-08}
