,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
44,reduced,150,True,minmax,True,112,38,knn,roc_auc,0.842105263157895,0.90625,0.5,1,0.666666666666667,0.90625,{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'},,
40,reduced,150,True,minmax,True,112,38,knn,precision,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'},,
41,reduced,150,True,minmax,True,112,38,knn,recall,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'},,
42,reduced,150,True,minmax,True,112,38,knn,f1,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'},,
85,tt_clear,150,True,minmax,True,112,38,svm,precision,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
96,tt_clear,150,True,minmax,True,112,38,random_forest,recall,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
134,tt_all,150,True,minmax,True,112,38,random_forest,roc_auc,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
169,descr_react,150,True,minmax,True,112,38,random_forest,roc_auc,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
65,reduced,150,True,minmax,True,112,38,mlp,precision,0.842105263157895,0.838541666666667,0.5,0.833333333333333,0.625,0.838541666666667,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
130,tt_all,150,True,minmax,True,112,38,random_forest,precision,0.868421052631579,0.786458333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.786458333333333,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
165,descr_react,150,True,minmax,True,112,38,random_forest,precision,0.868421052631579,0.786458333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.786458333333333,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
69,reduced,150,True,minmax,True,112,38,mlp,roc_auc,0.789473684210526,0.875,0.428571428571429,1,0.6,0.875,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
