subject	duration	card_class	show_order	fix_freq	sacc_freq	sr_fix_freq	sr_sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sr_pupil_diam_right_mean	sr_pupil_diam_right_std	sr_pupil_diam_right_min	sr_pupil_diam_right_max	sr_pupil_diam_left_mean	sr_pupil_diam_left_std	sr_pupil_diam_left_min	sr_pupil_diam_left_max	label
4	2783	unicorn	1	70.42759611929573	112.46855910887531	130.66666666666666	208.66666666666666	4.1618055555555555	0.24518996748447672	3.7	5.41	4.44969387755102	0.37874273544799664	3.9	6.8	4.2009160305343505	0.2844575144204772	3.76	5.41	4.414561403508772	0.36586457272708667	3.9	6.8	1
4	2383	pepper	4	152.7486361728913	51.19597146454049	242.66666666666666	81.33333333333333	3.7222222222222228	0.15052442982017164	3.24	4.73	3.9671751412429392	0.2887137184075478	3.33	5.49	3.7624369747899156	0.15369994092912986	3.39	4.73	4.041801801801799	0.3269617664559524	3.61	5.49	0
4	2368	minion	5	97.12837837837839	82.34797297297298	153.33333333333334	130.0	3.7377439024390235	0.30586561510321647	2.9	6.5	4.146352941176468	0.5307889562863555	3.51	6.49	3.7974193548387105	0.12566261961754757	3.43	4.56	4.177669902912623	0.5105383622994478	3.69	6.49	0
4	2349	pig	2	108.55683269476371	76.62835249042145	170.0	120.0	4.035274725274722	0.1988799613489685	3.68	5.07	4.4647826086956535	0.3605414105143157	3.95	6.19	4.113482142857144	0.21656911104409576	3.68	5.07	4.5952040816326525	0.3870646329571604	3.95	6.19	0
4	2126	hedge	3	95.01411100658514	66.79209783631232	134.66666666666666	94.66666666666667	3.770248447204966	0.24934902824795363	3.24	6.03	4.1271232876712345	0.3896345925733576	3.58	5.9	3.754056603773585	0.3024999907182581	3.24	6.03	4.1241818181818175	0.44024468137946016	3.58	5.9	0
4	3228	aliens	6	101.61090458488228	83.95291201982651	218.66666666666666	180.66666666666666	3.8434285714285727	0.21089160721366967	3.22	5.47	4.139029535864977	0.28328338803660114	3.61	5.48	3.8374774774774782	0.2687190776069735	3.43	5.47	4.15072072072072	0.2985227620732454	3.62	5.48	0
5	2808	unicorn	4	141.02564102564102	1.0683760683760684	264.0	2.0	3.197573529411764	0.05101192777771809	3.06	3.3	3.119305555555554	0.09491735660196501	2.88	3.64	3.1981481481481473	0.050758209176288496	3.06	3.3	3.1209790209790196	0.09309479256033433	2.9	3.64	0
5	2197	pepper	6	190.71461083295404	13.199817933545743	279.3333333333333	19.333333333333332	3.026600000000001	0.05537947188300253	2.78	3.19	2.9471052631578925	0.07672632692654395	2.64	3.05	3.0271621621621634	0.05546391289287552	2.78	3.19	2.949933333333331	0.07250546534981236	2.64	3.05	0
5	2480	minion	5	133.46774193548387	3.629032258064516	220.66666666666666	6.0	3.1813559322033904	0.058205578113120264	2.95	3.3	3.1308943089430894	0.08269049670932521	2.84	3.25	3.1813559322033904	0.058205578113120264	2.95	3.3	3.1308943089430894	0.08269049670932521	2.84	3.25	0
5	2945	pig	1	197.2835314091681	17.31748726655348	387.3333333333333	34.0	3.3649494949494985	0.12040434194047686	3.02	3.54	3.309475982532752	0.2221065130713225	2.98	4.54	3.408068965517244	0.09722037217725261	3.05	3.54	3.332052980132449	0.10306190942532037	3.09	3.49	1
5	2448	hedge	3	103.75816993464052	8.169934640522875	169.33333333333334	13.333333333333334	3.0908823529411773	0.11639045707178561	2.33	3.25	3.0420408163265305	0.08536107884024209	2.83	3.14	3.0908823529411773	0.11639045707178561	2.33	3.25	3.0420408163265305	0.08536107884024209	2.83	3.14	0
