subject,source,card_class,show_order,duration,react_dur,point_dur,descr_dur,fix_freq,sacc_freq,right_mean,right_std,right_min,right_max,left_mean,left_std,left_min,left_max,react_fix_freq,react_sacc_freq,react_right_mean,react_right_std,react_right_min,react_right_max,react_left_mean,react_left_std,react_left_min,react_left_max,point_fix_freq,point_sacc_freq,point_right_mean,point_right_std,point_right_min,point_right_max,point_left_mean,point_left_std,point_left_min,point_left_max,descr_fix_freq,descr_sacc_freq,descr_right_mean,descr_right_std,descr_right_min,descr_right_max,descr_left_mean,descr_left_std,descr_left_min,descr_left_max,label
0,frontiers,unicorn,5,7055,1339,5172,1883,4.480955937266617,2.1261516654854713,0.0279806951078861,0.14521530609768535,-0.9614346895074983,0.45856531049250115,-0.016495793704701514,0.20982254208611079,-0.7155246252676757,0.3944753747323242,4.480955937266617,4.480955937266617,-0.01983163607238397,0.09436277618354788,-0.9614346895074983,0.08856531049250105,0.05425149413530949,0.08629784424694419,-0.05552462526767599,0.3944753747323242,0.9667440061871617,1.160092807424594,-0.021641790099214502,0.1295928971814318,-0.4014346895074987,0.45856531049250115,-0.15209354022368748,0.18408506370136843,-0.7155246252676757,0.1444753747323242,1.5932023366967605,1.5932023366967605,0.15525039336542973,0.12483346795105689,-0.46143468950749833,0.33856531049250105,0.1832797225584113,0.10895772871925972,-0.2555246252676753,0.35447537473232416,0
0,frontiers,pepper,2,13782,2290,5140,8642,3.056768558951965,2.7572195617472066,0.07937569601571155,0.1986269111797591,-0.9314346895074985,0.6585653104925013,0.07515684487014992,0.18859369347780258,-0.7555246252676757,0.5544753747323243,3.056768558951965,3.056768558951965,-0.12250611807892699,0.14153772504355894,-0.5214346895074984,0.26856531049250165,-0.14976043312793763,0.12164067133446678,-0.6355246252676756,0.2744753747323241,0.38910505836575876,0.19455252918287938,0.022003906983729588,0.09405254329060794,-0.1914346895074983,0.1785653104925018,0.06044028701302622,0.11252323154689597,-0.15552462526767563,0.24447537473232472,2.198565146956723,3.4714186530895628,0.16017948372084792,0.192099249448144,-0.9314346895074985,0.6585653104925013,0.1454854757424256,0.17376107198691768,-0.7555246252676757,0.5544753747323243,0
0,frontiers,minion,1,8117,1307,3993,4124,3.0604437643458304,2.956757422693113,-0.007632606174165194,0.1291012858320039,-0.9314346895074985,0.27856531049250144,-0.06076089602118781,0.15841014496558833,-0.8555246252676758,0.4344753747323242,3.0604437643458304,2.295332823259373,-0.013419422331926001,0.13369552001773533,-0.8814346895074987,0.18856531049250158,-0.08857806038217941,0.1262774304078797,-0.2555246252676753,0.2044753747323247,1.0017530678687703,1.5026296018031555,-0.04373040935185649,0.1313324967712531,-0.6814346895074985,0.27856531049250144,-0.1278234758423883,0.18911149224379187,-0.8555246252676758,0.4344753747323242,2.667313288069835,3.6372453928225026,0.01877583680829094,0.11980836895430162,-0.9314346895074985,0.2385653104925014,-0.006675520408340551,0.12229621560686486,-0.7555246252676757,0.2744753747323241,0
0,frontiers,pig,0,24532,8827,12192,12340,1.4727540500736378,2.160443502364259,0.09436857509731225,0.26560800825720676,-0.9814346895074983,1.1785653104925018,0.04149157251578545,0.25257455854983885,-0.6355246252676756,0.8144753747323241,1.4727540500736378,1.6993315962388127,-0.007415997918713484,0.20017295358295112,-0.5914346895074987,0.5585653104925017,-0.07499098257626031,0.1823334188733682,-0.6055246252676758,0.4644753747323245,0.41010498687664043,0.32808398950131235,-0.19496762363923484,0.18363882114031194,-0.47143468950749856,0.14856531049250155,-0.2359138468245621,0.25838636131829434,-0.6255246252676754,0.30447537473232433,1.9448946515397083,2.755267423014587,0.2558500205100758,0.21420797592897142,-0.9814346895074983,1.1785653104925018,0.20937102690623796,0.1586791034052507,-0.6355246252676756,0.8144753747323241,0
0,frontiers,hedge,3,12106,2125,5125,6981,4.235294117647059,3.3041467041136627,0.20964475781547204,0.1694353597481059,-0.9714346895074986,0.5285653104925014,0.23941605269842564,0.2154351295309371,-0.9055246252676756,0.7644753747323243,4.235294117647059,6.117647058823529,0.07937749323361813,0.12116505125960186,-0.8514346895074985,0.2485653104925012,0.09136532688543443,0.2044772705642403,-0.9055246252676756,0.7644753747323243,1.3658536585365855,1.170731707317073,0.14199864382583477,0.08973322905634507,-0.09143468950749867,0.3685653104925013,0.14510870806565754,0.1261042153643741,-0.20552462526767545,0.3944753747323242,2.435181206130927,3.008165019338204,0.27917045421413533,0.17416275017712465,-0.9714346895074986,0.5285653104925014,0.3276944507382856,0.2072933129787646,-0.4355246252676759,0.6744753747323244,1
0,frontiers,aliens,4,10638,1817,5228,5410,3.302146395156852,2.2560631697687534,0.2335601822873731,0.16038062713086676,-0.9714346895074986,0.5385653104925012,0.2521523438250461,0.17996475408412868,-0.8755246252676754,0.654475374732324,3.302146395156852,3.302146395156852,0.19713673906393017,0.15853313388146778,-0.11143468950749824,0.5085653104925019,0.21590394616089595,0.19272154606396485,-0.18552462526767588,0.5844753747323246,0.7651109410864576,0.5738332058148432,0.3267364019379292,0.08308166077474163,0.13856531049250176,0.4885653104925014,0.36901814759368146,0.09470296337273953,0.1444753747323242,0.654475374732324,1.8484288354898335,2.7726432532347505,0.17858733692421952,0.1733611357801254,-0.9714346895074986,0.5385653104925012,0.18364549921365217,0.1798987243953378,-0.8755246252676754,0.5644753747323241,0
1,frontiers,unicorn,1,18276,3579,6384,11892,3.0734842134674487,9.411249726417159,0.06853477477477359,0.2799405026534627,-1.3182400000000012,1.4317599999999988,0.0547472940938242,0.4980927058934588,-1.2646902654867285,2.0753097345132714,3.0734842134674487,11.735121542330258,0.1739000778210106,0.1311833604218021,-0.22824000000000133,0.7417599999999984,0.2166097345132713,0.41444193875984014,-0.6346902654867286,1.7453097345132713,0.4699248120300752,5.012531328320802,0.19211353535353418,0.31807220114263707,-0.618240000000001,1.4317599999999988,0.21691812612166286,0.5064814421049308,-0.6446902654867288,2.0353097345132714,2.186343760511268,8.24083417423478,-0.010163664122138632,0.28370359738110823,-1.3182400000000012,0.9917599999999984,-0.023953721577380193,0.4996799216593131,-1.2646902654867285,2.0753097345132714,1
1,frontiers,pepper,3,11185,1554,3120,8065,1.9305019305019304,9.745194456861869,0.006646515353803899,0.25515413018829597,-0.6282400000000012,1.2717599999999987,-0.07774710112420946,0.37888625631748496,-0.8846902654867286,1.345309734513271,1.9305019305019304,11.583011583011583,-0.008459780219781403,0.28181939851999793,-0.6282400000000012,0.5617599999999987,0.1398749519045755,0.40976651900265915,-0.40469026548672904,1.345309734513271,1.282051282051282,6.089743589743589,0.02133264957264835,0.2522498527472765,-0.47824000000000133,1.2717599999999987,-0.10042939592151137,0.3521065948787839,-0.7546902654867287,0.8553097345132716,2.1078735275883447,9.051456912585245,0.006011386321625466,0.25137481904688147,-0.5882400000000012,0.9617599999999991,-0.11696504026150338,0.3643176078125397,-0.8846902654867286,1.265309734513271,0
1,frontiers,minion,2,8293,1597,4684,3609,0.6261740763932373,11.817195224888462,0.16174248686514764,0.2768218751651409,-0.7782400000000012,1.4517599999999984,0.12469873654993129,0.34532923273426874,-0.5146902654867285,1.7953097345132711,0.6261740763932373,13.77582968065122,0.23680424778760942,0.30866105975708485,-0.4682400000000011,1.4517599999999984,0.0377193730674882,0.27394404966158636,-0.33469026548672876,1.7953097345132711,0.6404782237403928,7.685738684884714,0.09690285714285593,0.29607516918846716,-0.7782400000000012,1.3617599999999985,0.2855478297513666,0.4243938296110335,-0.4146902654867288,1.7253097345132717,1.9395954558049322,11.637572734829593,0.18244548387096657,0.22996200590727706,-0.4182400000000013,1.211759999999999,0.0421847345132713,0.2554261043234903,-0.5146902654867285,1.6453097345132717,0
1,frontiers,pig,5,12413,2021,3782,8631,2.9688273132112815,10.634012728590992,-0.17651981651376275,0.24327751471798612,-1.1282400000000012,1.0417599999999991,-0.3449843831337879,0.34461103229018836,-0.9746902654867289,1.7453097345132713,2.9688273132112815,8.906481939633846,0.06442187050359593,0.12237727090500512,-0.3582400000000012,0.29175999999999913,-0.2087671885636517,0.20834786115118412,-0.8046902654867285,0.7053097345132713,1.5864621893178212,4.49497620306716,-0.0293511111111123,0.15826672283065557,-0.5082400000000011,1.0417599999999991,-0.2829045512010141,0.2999405775555386,-0.9646902654867286,1.7353097345132715,2.7806743135210286,11.238558683814158,-0.26224329489291714,0.22651241594355162,-1.1282400000000012,0.5617599999999987,-0.39065322844969164,0.36850296167467117,-0.9746902654867289,1.7453097345132713,0
1,frontiers,hedge,4,18143,2143,4643,13500,2.7998133457769483,8.873945874441933,-0.09641220543806762,0.23301561903206192,-0.7482400000000013,1.2917599999999991,-0.2171380833235409,0.4067596977213825,-1.0646902654867287,2.0753097345132714,2.7998133457769483,10.732617825478302,-0.007962222222223446,0.1878622633533143,-0.6682400000000013,0.421759999999999,-0.1676366940581572,0.3315718459039295,-0.8946902654867288,1.4953097345132713,0.6461339651087659,6.461339651087659,-0.027818313253013233,0.27819625165685746,-0.7082400000000013,1.2917599999999991,0.016136802182444232,0.500449865973306,-0.6246902654867288,2.0753097345132714,2.888888888888889,8.074074074074074,-0.12041733990147895,0.22554620985487478,-0.7482400000000013,0.9717599999999988,-0.26234168699476335,0.38504650886122704,-1.0646902654867287,2.0653097345132716,0
1,frontiers,aliens,0,10380,4184,7619,2761,1.6730401529636711,10.693641618497109,0.15355039301309956,0.30188933208852287,-1.1282400000000012,1.4417599999999986,0.1370501054119873,0.4306567687804683,-0.6046902654867288,1.965309734513271,1.6730401529636711,11.950286806883364,0.18540406779660934,0.28231162879324195,-1.1282400000000012,1.421759999999999,0.14982465988640573,0.38208102039153946,-0.4946902654867289,1.885309734513271,0.525003281270508,5.512534453340334,0.29436869565217266,0.3148057996787656,-0.7382400000000011,1.4417599999999986,0.30299155269508965,0.45815750580398973,-0.4246902654867286,1.9453097345132715,2.897500905469033,6.881564650488953,-0.06435111111111226,0.14530041617939846,-0.5182400000000014,0.27175999999999867,-0.049503349598878234,0.38351073170166955,-0.6046902654867288,1.965309734513271,0
2,frontiers,unicorn,0,18574,9026,13986,4588,1.9942388654996677,2.961128459136427,0.27607025158749615,0.12941270309690536,-0.11687645687645398,1.553123543123546,0.3394357956033253,0.13505928813110488,-0.16808933002481563,1.5519106699751841,1.9942388654996677,2.7697762020828716,0.2901475027704562,0.1143612947563196,-0.11687645687645398,1.553123543123546,0.3413599816147336,0.11670152198873837,-0.16808933002481563,1.0719106699751841,0.6435006435006435,1.2155012155012155,0.24222354312354658,0.14358527720338862,-0.03687645687645391,1.213123543123546,0.29946066997518417,0.14264419341419735,-0.03808933002481574,1.5519106699751841,1.961639058413252,2.8334786399302527,0.2819792645165809,0.13659625813053528,-0.0468764568764537,1.3331235431235462,0.37621092442811055,0.1503485115436947,-0.16808933002481563,1.3619106699751837,0
2,frontiers,pepper,1,15307,7081,10851,4456,1.553452902132467,1.567910106487228,0.09517645317645627,0.13240689627285895,-0.3168764568764537,1.5831235431235462,0.1446156752999977,0.1107145298885298,-0.2180893300248159,1.5419106699751843,1.553452902132467,1.6946758932354187,0.052986556822176394,0.11459126349136275,-0.3168764568764537,0.4831235431235461,0.1239816758923439,0.1277652665149737,-0.2180893300248159,1.5419106699751843,0.6451018339323564,0.7372592387798359,0.1411923261923293,0.09138617467714988,0.003123543123546124,0.49312354312354634,0.16554462222982594,0.07402058162263409,-0.16808933002481563,0.4219106699751842,0.6732495511669658,0.8976660682226211,0.16955211455211772,0.2918494541644783,0.003123543123546124,1.5831235431235462,0.19136521542972962,0.1119262022382371,0.0019106699751842982,0.4819106699751843,0
2,frontiers,minion,2,15381,8282,11942,3439,1.207437816952427,1.4303361289903127,0.08413487703810613,0.10902401729034242,-0.32687645687645395,0.6931235431235461,0.15425623846220296,0.14401517807107123,-0.23808933002481592,1.4119106699751844,1.207437816952427,1.3281815986476697,0.035588578088581166,0.09377493177601356,-0.32687645687645395,0.6931235431235461,0.09275296388199403,0.12981483928602996,-0.23808933002481592,1.4119106699751844,0.2512142019762184,0.16747613465081226,0.154653597768355,0.0860096071314194,-0.0468764568764537,0.3531235431235462,0.19947299684498992,0.07977145910602339,0.05191066997518412,0.5119106699751841,1.4539110206455366,2.6170398371619656,0.09350631824316347,0.11422332582890206,-0.24687645687645388,0.6931235431235461,0.24514299320750746,0.1882935837215844,-0.19808933002481588,1.1319106699751842,0
