subject,subject_card,card,lower_mean,lower_descr,,ppre,rpre,dpre,pple,rple,dple,,threshold,10.00
0.00,minion,unicorn,FALSE,FALSE,,74.47,22.10,61.78,74.74,23.59,64.27,,,
0.00,minion,pepper,FALSE,FALSE,,96.13,78.97,81.73,97.74,79.46,83.62,,,
0.00,minion,minion,FALSE,FALSE,,96.24,91.70,78.57,100.00,93.21,81.80,,,
0.00,minion,pig,FALSE,FALSE,,96.89,22.64,68.25,98.20,23.16,70.56,,,
0.00,minion,hedge,FALSE,FALSE,,94.23,21.55,74.96,95.48,22.09,77.25,,,
0.00,minion,aliens,FALSE,FALSE,,84.01,96.55,80.00,85.20,97.83,82.20,,,
1.00,hedge,unicorn,FALSE,FALSE,,100.03,86.33,76.03,100.03,86.47,75.09,,,
1.00,hedge,pepper,FALSE,FALSE,,96.55,90.77,80.60,97.58,89.98,74.75,,,
1.00,hedge,minion,FALSE,FALSE,,97.83,92.24,72.33,97.83,93.28,69.73,,,
1.00,hedge,pig,FALSE,FALSE,,100.00,76.88,73.27,100.00,77.81,71.45,,,
1.00,hedge,hedge,FALSE,FALSE,,98.19,68.10,75.35,97.92,70.18,77.80,,,
1.00,hedge,aliens,FALSE,FALSE,,100.30,63.25,71.00,100.30,63.98,69.56,,,
2.00,minion,unicorn,FALSE,FALSE,,94.72,75.35,37.84,95.96,74.06,40.05,,,
2.00,minion,pepper,TRUE,TRUE,,99.44,76.22,3.10,99.08,75.40,0.00,,,
2.00,minion,minion,FALSE,FALSE,,93.33,79.69,34.33,93.02,76.68,27.33,,,
2.00,minion,pig,FALSE,FALSE,,98.20,66.55,18.14,100.30,67.56,19.84,,,
2.00,minion,hedge,FALSE,FALSE,,99.54,70.99,45.67,99.54,70.48,50.79,,,
2.00,minion,aliens,FALSE,FALSE,,95.70,80.25,25.95,97.03,75.33,24.63,,,
3.00,hedge,unicorn,FALSE,FALSE,,88.18,97.83,96.12,88.96,100.07,97.72,,,
3.00,hedge,pepper,FALSE,FALSE,,100.00,97.82,88.17,100.00,100.00,91.65,,,
3.00,hedge,minion,FALSE,FALSE,,95.68,100.23,92.14,97.17,100.23,94.81,,,
3.00,hedge,pig,FALSE,FALSE,,99.26,96.98,92.22,99.26,97.65,93.19,,,
3.00,hedge,hedge,FALSE,FALSE,,100.00,92.71,94.69,100.00,98.35,96.12,,,
3.00,hedge,aliens,FALSE,FALSE,,99.38,100.17,83.92,99.38,100.17,89.09,,,
4.00,unicorn,unicorn,FALSE,FALSE,,70.59,71.81,55.08,50.98,55.88,59.37,,,
4.00,unicorn,pepper,FALSE,FALSE,,74.71,58.56,67.08,73.44,59.20,55.05,,,
4.00,unicorn,minion,FALSE,FALSE,,68.03,70.76,68.72,54.42,51.97,66.50,,,
4.00,unicorn,pig,FALSE,FALSE,,71.55,68.78,70.33,63.60,64.32,62.57,,,
4.00,unicorn,hedge,FALSE,FALSE,,66.40,67.20,75.19,53.20,52.26,59.93,,,
4.00,unicorn,aliens,FALSE,FALSE,,73.65,56.41,71.71,64.05,64.05,77.51,,,
5.00,pig,unicorn,TRUE,TRUE,,97.64,88.04,8.99,100.26,88.04,8.99,,,
5.00,pig,pepper,FALSE,FALSE,,64.20,84.28,35.27,68.49,90.03,33.20,,,
5.00,pig,minion,TRUE,TRUE,,69.09,52.61,2.46,72.36,60.06,6.16,,,
5.00,pig,pig,TRUE,TRUE,,85.81,40.56,0.00,96.96,87.43,0.00,,,
5.00,pig,hedge,FALSE,FALSE,,70.87,64.68,33.19,73.00,64.68,23.31,,,
5.00,pig,aliens,TRUE,TRUE,,33.96,27.37,0.00,40.32,28.59,0.00,,,
6.00,pig,unicorn,FALSE,FALSE,,80.65,87.86,87.62,80.65,88.52,85.66,,,
6.00,pig,pepper,FALSE,FALSE,,100.27,72.16,12.57,100.00,71.60,12.34,,,
6.00,pig,minion,FALSE,FALSE,,100.00,69.07,60.77,98.63,67.38,57.57,,,
6.00,pig,pig,FALSE,FALSE,,98.93,99.88,49.19,98.93,99.61,46.93,,,
6.00,pig,hedge,FALSE,FALSE,,99.96,100.08,52.35,99.96,99.61,48.51,,,
6.00,pig,aliens,FALSE,FALSE,,100.06,98.32,52.80,100.06,98.32,53.42,,,
7.00,aliens,unicorn,FALSE,FALSE,,91.03,70.51,99.96,90.01,69.69,99.96,,,
7.00,aliens,pepper,FALSE,FALSE,,89.52,74.88,95.27,88.40,74.81,93.19,,,
7.00,aliens,minion,FALSE,FALSE,,82.82,68.24,98.66,81.67,67.96,97.24,,,
7.00,aliens,pig,FALSE,FALSE,,90.16,79.38,98.11,90.16,79.06,97.18,,,
7.00,aliens,hedge,FALSE,FALSE,,55.18,67.47,97.97,55.03,66.52,96.14,,,
7.00,aliens,aliens,FALSE,FALSE,,74.38,73.85,97.16,73.25,73.58,95.05,,,
8.00,aliens,unicorn,FALSE,FALSE,,100.09,65.23,55.46,100.09,77.45,52.86,,,
8.00,aliens,pepper,FALSE,FALSE,,99.19,31.54,76.60,99.70,33.61,77.16,,,
8.00,aliens,minion,FALSE,FALSE,,95.10,60.61,57.10,94.36,63.32,59.09,,,
8.00,aliens,pig,FALSE,FALSE,,100.05,12.95,17.39,100.05,14.54,18.93,,,
8.00,aliens,hedge,FALSE,FALSE,,87.64,99.24,53.40,87.20,100.07,54.49,,,
8.00,aliens,aliens,FALSE,FALSE,,61.51,41.84,87.15,60.81,40.88,86.61,,,
9.00,pig,unicorn,FALSE,FALSE,,91.69,39.64,39.12,90.21,41.56,39.12,,,
9.00,pig,pepper,FALSE,FALSE,,94.66,30.55,47.20,94.89,29.96,46.63,,,
9.00,pig,minion,FALSE,FALSE,,92.66,46.92,39.17,92.41,46.19,40.00,,,
9.00,pig,pig,FALSE,FALSE,,97.01,24.04,75.63,97.01,23.53,74.27,,,
