subject,subject_card,card,whole_right,point_right,react_right,point_react_right,descr_right,whole_left,point_left,react_left,point_react_left,descr_left,whole_dur,point_dur,react_dur,point_react_dur,descr_dur,whole_exp,point_exp,react_exp,point_react_exp,descr_exp,whole_perc_right_exp,point_perc_right_exp,react_perc_right_exp,point_react_perc_right_exp,descr_perc_right_exp,whole_perc_left_exp,point_perc_left_exp,react_perc_left_exp,point_react_perc_left_exp,descr_perc_left_exp,whole_right_mean,point_right_mean,react_right_mean,point_right_react_mean,descr_right_mean,whole_left_mean,point_left_mean,react_left_mean,point_left_react_mean,descr_left_mean,whole_perc_right_mean,point_perc_right_mean,react_perc_right_mean,point_react_perc_right_mean,descr_perc_right_mean,whole_perc_left_mean,point_perc_left_mean,react_perc_left_mean,point_react_perc_left_mean,descr_perc_left_mean
0,minion,unicorn,1076,273,133,406,670,1113,274,142,416,697,20530,3666,6019,9685,10845,2053.0,366.6,601.9,968.5,1084.5,52.41110569897711,74.46808510638297,22.096693802957304,41.92049561177078,61.77962194559705,54.213346322454946,74.74086197490453,23.591958797142386,42.95302013422819,64.26924850161365,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,76.67323527341826,19.45333943275389,9.477267928777536,28.930607361531425,47.742627911886835,150.09614824310938,36.95089363756691,19.149733199031026,56.10062683659793,93.99552140651144
0,minion,pepper,1477,298,487,785,692,1501,303,490,793,708,17734,3100,6167,9267,8467,1773.4,310.0,616.7,926.7,846.7,83.28634261869854,96.12903225806451,78.96870439435706,84.70918312290925,81.72906578481161,84.63967520018045,97.74193548387096,79.45516458569807,85.572461422251,83.6187551671194,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,105.24755436695052,21.234780772749666,34.702477303117746,55.93725807586741,49.31029629108312,202.4207713503209,40.861754643002826,66.08006526426199,106.94181990726482,95.47895144305609
0,minion,minion,1836,307,485,791,1045,1899,319,493,811,1088,21779,3190,5289,8479,13300,2177.9,319.0,528.9,847.9,1330.0,84.30139124845034,96.23824451410658,91.6997542068444,93.28930298384243,78.57142857142857,87.19408604619127,100.0,93.21232747211194,95.64807170656917,81.80451127819549,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,130.82905200928988,21.876099655148145,34.55996199591808,56.364803997466396,74.4642480118235,256.09396721802756,43.01947105979505,66.48463709241052,109.36925087615606,146.72471634187153
0,minion,pig,1241,371,131,502,739,1274,376,134,510,764,20444,3829,5787,9616,10828,2044.4,382.9,578.7,961.6,1082.8,60.702406574055956,96.89213893967093,22.636944876447206,52.20465890183028,68.24898411525675,62.31657209939346,98.19796291459912,23.15534819422844,53.036605657237935,70.55781307720724,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,88.4307481173904,26.436589485537336,9.334752621577874,35.77134210711521,52.65940601027518,171.80816968708118,50.70633579461736,18.070874990634913,68.77721078525228,103.0309589018289
0,minion,hedge,1243,302,121,423,820,1275,306,124,430,845,19758,3205,5614,8819,10939,1975.8,320.5,561.4,881.9,1093.9,62.91122583257415,94.22776911076443,21.553259707873178,47.9646218392108,74.9611481853917,64.53082295778924,95.47581903276131,22.087638047737798,48.75836262614809,77.24654904470243,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,88.57326342459005,21.51981138714899,8.622176085579563,30.141987472728555,58.431275951861494,171.94302696313068,41.266326471151366,16.722302230139768,57.988628701291134,113.95439826183956
0,minion,aliens,2204,281,1051,1332,873,2246,285,1065,1350,897,25143,3345,10886,14231,10912,2514.3,334.5,1088.6,1423.1,1091.2,87.65859284890426,84.00597907324364,96.54602241410987,93.59848218677536,80.00366568914956,89.32903790319374,85.20179372197309,97.8320778982179,94.86332654065069,82.20307917888563,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,157.05186853402773,20.023400661552536,74.89179393342248,94.91519459497502,62.20793159265254,302.889442007209,38.43432367411157,143.6229989927327,182.05732266684424,120.96697661641429
1,hedge,unicorn,1463,304,591,895,569,1457,304,592,896,562,17369,3039,6846,9885,7484,1736.9,303.9,684.6,988.5,748.4,84.23052564914502,100.03290556103983,86.32778264680104,90.54122407688416,76.02886157135222,83.88508261845817,100.03290556103983,86.473853345019,90.64238745574103,75.09353287012294,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,104.2499472165529,21.662326694348653,42.11327327750018,63.77559997184883,40.54560489830389,196.48705120414226,40.996611919052334,79.83550742131244,120.83211934036477,75.78978913982701
1,hedge,pepper,2332,559,1042,1601,731,2276,565,1033,1598,678,26340,5790,11480,17270,9070,2634.0,579.0,1148.0,1727.0,907.0,88.5345482156416,96.54576856649395,90.76655052264809,92.70411117544876,80.59536934950386,86.40850417615793,97.58203799654576,89.98257839721255,92.53039953676895,74.75192943770672,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,166.1728481948061,39.83302836230558,74.250475051024,114.08350341332958,52.089344781476534,306.9351602886945,76.19436096797556,139.30756615914822,215.50192712712376,91.43323316157067
1,hedge,minion,1290,316,446,762,528,1276,316,451,767,509,15365,3230,4835,8065,7300,1536.5,323.0,483.5,806.5,730.0,83.95704523267166,97.8328173374613,92.2440537745605,94.48233106013639,72.32876712328768,83.04588350146437,97.8328173374613,93.27817993795243,95.10229386236826,69.72602739726027,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,91.92237314378211,22.517418537546625,31.780913505524666,54.2983320430713,37.62404110071082,172.0778842391802,42.61489923164651,60.82063149833093,103.43553072997744,68.64235350920276
1,hedge,pig,1085,269,413,682,403,1080,269,418,687,393,13562,2690,5372,8062,5500,1356.2,269.0,537.2,806.2,550.0,80.00294941749004,100.0,76.8801191362621,84.59439345075663,73.27272727272728,79.63427223123432,100.0,77.8108711839166,85.21458695112875,71.45454545454545,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,77.31455415581674,19.168308818354564,29.429410936730243,48.5977197550848,28.716834400731933,145.6458581334754,36.27660725731934,56.370341388696964,92.6469486460163,52.9989094874591
