point_fix_freq T:-0.014412562120218554 p:0.9886790251666322   
descr_right_min T:-0.028672362215647604 p:0.9774804938804165   
point_left_mean T:-0.05604582230088641 p:0.9559992227628722   
react_right_std T:0.10284329335307316 p:0.919365307334127   
react_dur T:-0.11670353593660834 p:0.9085473157946362   
descr_sacc_freq T:0.13719403532134614 p:0.8925890076540444   
sacc_freq T:-0.19741048708518766 p:0.8459924003373334   
point_dur T:-0.2117419815630731 p:0.8349820019711254   
point_right_mean T:-0.23655641373521927 p:0.8160027963156138   
descr_fix_freq T:0.264901134319548 p:0.794467996578425   
point_left_min T:0.2806500085679643 p:0.7825754025124874   
point_left_max T:-0.40683645109679456 p:0.6895185498126648   
react_sacc_freq T:0.42542639271381777 p:0.676192742756023   
left_min T:-0.4295847403706034 p:0.673226875400043   
right_min T:0.49267446167992895 p:0.6289350613586998   
react_left_min T:0.5627812966696492 p:0.5813846130383655   
descr_left_min T:-0.5812921905112856 p:0.5691427812289636   
point_right_max T:0.6329485778477758 p:0.5357096669287771   
descr_right_std T:0.6618260013367429 p:0.5175018833858702   
react_left_std T:0.7410332575094917 p:0.46941034505128476   
point_sacc_freq T:-0.8968325072220449 p:0.38310428510573225   
right_std T:0.8973346446697438 p:0.38284437292655127   
duration T:0.904641439185916 p:0.37907569555796816   
react_right_max T:0.9842022647096603 p:0.3396659442276879   
descr_dur T:1.044638089132163 p:0.3117170602665067   
react_right_min T:1.0487878330249272 p:0.30986061934068804   
point_left_std T:-1.2575459714295076 p:0.2266017783748202   
left_max T:1.2771702100115667 p:0.2197655104667456   
descr_left_std T:1.4513486824767037 p:0.16600759382220057   
point_right_min T:1.5004688945630391 p:0.15296732093025955   
point_right_std T:-1.6303472013517555 p:0.12255333341572176   
react_left_max T:1.7147852304612412 p:0.10568456929478977   
right_max T:1.8210323917816875 p:0.08735430915788245   
descr_left_max T:1.9832241994959556 p:0.0647778380462644   
left_std T:2.3606397715751517 p:0.03127009774446411   *
react_right_mean T:2.4486902014442604 p:0.026241446809077803   *
react_left_mean T:2.8052833207896968 p:0.012702149281530295   *
descr_right_max T:3.375808238277329 p:0.0038518266558524787   *
right_mean T:3.656955764170884 p:0.0021272306788059055   *
left_mean T:3.8872833789696326 p:0.0013083607024400735   *
descr_left_mean T:5.584020670770103 p:4.112992266551915e-05   **
descr_right_mean T:5.992404427134311 p:1.8790019104335597e-05   **
